id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1929,False,1.0,11.0,202.0,1403.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1933,False,7.0,268.0,541.0,5699.0,3,0,3,0,employee,0,83,27.666666666666668,0,3.0,11
1935,False,1.0,4.0,0.0,2.0,0,0,0,0,employee,0,0,0,0,0,5
1942,False,1.0,1.0,46.0,495.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1945,False,2.0,8.0,44.0,337.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1946,False,3.0,12.0,479.0,4820.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1951,False,1.0,23.0,47.0,500.0,0,0,0,0,employee,0,0,0,0,0,0
1968,False,16.0,863.0,773.0,6771.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1969,False,2.0,16.0,77.0,691.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1973,True,2.0,189.0,34.0,529.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1978,False,4.0,46.0,58.0,707.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1986,True,16.0,287.0,306.0,3269.0,0,0,0,0,employee,0,0,0,0,0,1
1987,False,1.0,228.0,203.0,1401.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1992,False,1.0,4.0,40.0,409.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1994,True,3.0,167.0,104.0,1672.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1997,False,2.0,20.0,71.0,769.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
1999,True,58.0,1137.0,1620.0,15009.0,3,0,2,0,employee,0,25,8.333333333333334,0,1.6666666666666667,35
2000,False,2.0,328.0,284.0,1851.0,2,0,2,0,employee,0,15,7.5,0,0.0,35
2002,False,2.0,19.0,232.0,1899.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2003,False,2.0,8.0,139.0,975.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2004,False,1.0,12.0,33.0,201.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2006,True,22.0,307.0,1099.0,8963.0,1,0,1,0,employee,0,3,3.0,0,0.0,10
2015,False,4.0,22.0,29.0,352.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2018,False,1.0,31.0,24.0,180.0,0,0,0,0,employee,0,0,0,0,0,0
2021,True,96.0,4335.0,2256.0,21688.0,2,0,1,0,employee,0,11,5.5,0,0.0,12
2025,False,1.0,6.0,77.0,811.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2034,True,1.0,21.0,10.0,64.0,6,0,2,0,employee,0,41,6.833333333333333,0,0.0,1
2038,False,1.0,13.0,86.0,484.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2044,False,1.0,5.0,16.0,182.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2045,False,43.0,454.0,1907.0,17723.0,2,0,1,0,employee,0,11,5.5,0,0.0,13
2046,False,4.0,39.0,86.0,636.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
2055,False,1.0,8.0,12.0,155.0,1,0,1,0,employee,0,9,9.0,0,0.0,18
2056,False,3.0,23.0,370.0,4157.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2057,True,1.0,48.0,3.0,49.0,2,0,1,0,employee,0,6,3.0,0,0.0,0
2073,False,2.0,15.0,40.0,409.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2079,False,1.0,2.0,12.0,130.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
2082,True,28.0,400.0,561.0,4744.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2083,True,119.0,1127.0,3961.0,28288.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
2087,True,36.0,111.0,301.0,3563.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2088,False,2.0,18.0,16.0,241.0,2,0,2,0,employee,0,8,4.0,0,0.0,0
2090,False,1.0,13.0,3.0,34.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2092,False,155.0,1002.0,3428.0,32331.0,4,0,1,0,employee,0,16,4.0,0,0.5,2
2094,False,4.0,53.0,63.0,479.0,2,0,2,0,employee,0,8,4.0,0,0.0,0
2097,True,19.0,1510.0,241.0,1973.0,2,0,2,0,employee,0,14,7.0,0,0.0,7
2098,True,2.0,60.0,329.0,3670.0,2,0,2,0,employee,0,9,4.5,0,0.0,0
2101,True,7.0,381.0,45.0,425.0,2,0,1,0,employee,0,7,3.5,0,0.0,0
2103,True,41.0,905.0,162.0,1764.0,3,0,2,0,employee,0,15,5.0,0,0.3333333333333333,8
2105,True,19.0,456.0,818.0,6009.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
2113,False,3.0,855.0,174.0,1693.0,1,0,1,0,employee,0,4,4.0,0,0.0,2
2114,True,3.0,32.0,120.0,1167.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2117,False,5.0,69.0,247.0,2555.0,1,0,1,0,employee,0,3,3.0,0,0.0,6
2121,False,65.0,815.0,1258.0,11888.0,1,0,1,0,employee,0,3,3.0,0,0.0,9
2123,False,2.0,87.0,16.0,179.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2127,False,4.0,13.0,544.0,5083.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2139,False,1.0,8.0,4.0,51.0,2,0,2,0,employee,0,9,4.5,0,9.5,0
2140,False,2.0,21.0,104.0,952.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2141,False,2.0,21.0,357.0,4019.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2144,True,39.0,765.0,673.0,9666.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
2147,False,5.0,51.0,1.0,11.0,1,0,1,0,employee,0,5,5.0,0,0.0,2
2152,False,1.0,5.0,15.0,136.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2155,False,1.0,22.0,1.0,6.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2156,False,1.0,5.0,20.0,339.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2157,True,11.0,258.0,439.0,3576.0,3,0,2,0,employee,0,20,6.666666666666667,0,1.0,21
2159,True,4.0,20.0,339.0,2574.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2160,False,11.0,247.0,124.0,1624.0,2,0,1,0,employee,0,6,3.0,0,0.0,5
2162,False,1.0,27.0,56.0,605.0,1,0,1,0,employee,0,3,3.0,0,0.0,8
2163,False,1.0,37.0,37.0,302.0,1,0,1,0,employee,0,3,3.0,0,0.0,6
2164,True,31.0,892.0,333.0,4349.0,1,0,1,0,employee,0,6,6.0,0,0.0,11
2166,False,1.0,20.0,139.0,954.0,0,0,0,0,employee,0,0,0,0,0,0
2167,False,2.0,21.0,16.0,201.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2171,False,5.0,40.0,113.0,853.0,2,0,1,0,employee,0,7,3.5,0,0.0,0
2172,False,1.0,7.0,329.0,3764.0,0,0,0,0,employee,0,0,0,0,0,0
2174,False,1.0,12.0,53.0,236.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
2175,True,6.0,454.0,163.0,1488.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
2176,False,38.0,489.0,711.0,6399.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
2179,False,2.0,43.0,-111.0,-1433.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2182,False,1.0,27.0,0.0,-7.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2183,False,2.0,20.0,19.0,285.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2186,False,1.0,3.0,59.0,589.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2188,False,1.0,2.0,6.0,74.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2190,False,1.0,13.0,9.0,102.0,1,0,1,0,employee,0,3,3.0,0,0.0,16
2192,False,1.0,2.0,2.0,36.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2195,True,5.0,60.0,207.0,2072.0,1,0,1,0,employee,0,3,3.0,0,0.0,15
2200,False,2.0,17.0,367.0,4035.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2213,False,1.0,2.0,80.0,689.0,1,0,1,0,employee,0,3,3.0,0,0.0,4
2214,False,26.0,179.0,927.0,8607.0,1,0,1,0,employee,0,4,4.0,0,0.0,11
2220,False,28.0,1692.0,1244.0,11422.0,1,0,1,0,employee,0,19,19.0,0,0.0,8
2222,False,5.0,50.0,652.0,3295.0,1,0,1,0,temporary,0,6,6.0,0,0.0,0
2225,True,6.0,582.0,481.0,3382.0,1,0,1,0,employee,0,3,3.0,0,0.0,8
2229,False,2.0,34.0,20.0,206.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2230,False,5.0,31.0,120.0,1388.0,1,0,1,0,temporary,0,3,3.0,0,0.0,6
2232,False,3.0,25.0,66.0,520.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2234,False,2.0,44.0,19.0,348.0,2,0,2,0,employee,0,16,8.0,0,0.0,0
2235,False,2.0,22.0,19.0,196.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
2236,False,8.0,59.0,142.0,1259.0,2,0,1,0,employee,0,8,4.0,0,1.5,3
2237,False,86.0,216.0,1578.0,16327.0,1,0,1,0,employee,0,5,5.0,0,0.0,3
2243,False,2.0,10.0,71.0,586.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2244,False,5.0,60.0,330.0,3311.0,2,0,1,0,employee,0,8,4.0,0,0.5,2
