project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
RxJava,868ca9a344fc6b444ebcbecb36595fbde074a9123396f5ae19557d77fe558cd10482c41961516cea,116,868ca9a344fc6b444ebcbecb36595fbde074a912,3396f5ae19557d77fe558cd10482c41961516cea,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,b22ab40b0d3da6ae2d1506a54d399db939062205d62238b1375e986c53c9d2050e87d0dd00cbe545,120,b22ab40b0d3da6ae2d1506a54d399db939062205,d62238b1375e986c53c9d2050e87d0dd00cbe545,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,16c9658c5568f05495567c602014ee10afb4a308413c5611f9c2b6767f33c6528bdfb8595c201246,121,16c9658c5568f05495567c602014ee10afb4a308,413c5611f9c2b6767f33c6528bdfb8595c201246,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,846ed31f00b30361080ac6cf3adbef7085c516c69fc64f6cf877fac84631659eb66e6659b86a5b2e,122,846ed31f00b30361080ac6cf3adbef7085c516c6,9fc64f6cf877fac84631659eb66e6659b86a5b2e,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,30455adbf72cc10b3a3f95dad9e4ea328524b5e6846ed31f00b30361080ac6cf3adbef7085c516c6,122,30455adbf72cc10b3a3f95dad9e4ea328524b5e6,846ed31f00b30361080ac6cf3adbef7085c516c6,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,b68c71826f0b92bba2f6db99db9014bc5ecb503530455adbf72cc10b3a3f95dad9e4ea328524b5e6,122,b68c71826f0b92bba2f6db99db9014bc5ecb5035,30455adbf72cc10b3a3f95dad9e4ea328524b5e6,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,1cf564aa40c5080da5e9c517b66767b3123730cfb68c71826f0b92bba2f6db99db9014bc5ecb5035,122,1cf564aa40c5080da5e9c517b66767b3123730cf,b68c71826f0b92bba2f6db99db9014bc5ecb5035,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,221785ccb4dc552c394bcab640dbba16914ccab61cf564aa40c5080da5e9c517b66767b3123730cf,122,221785ccb4dc552c394bcab640dbba16914ccab6,1cf564aa40c5080da5e9c517b66767b3123730cf,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,90a6ec4e833786ef8cd6312edd4453ba2f431621b63f594866f44ca430553bc77146ad9e08293cdf,124,90a6ec4e833786ef8cd6312edd4453ba2f431621,b63f594866f44ca430553bc77146ad9e08293cdf,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,56b52de87c2f3250d389239765b527dc1e3b929eb63f594866f44ca430553bc77146ad9e08293cdf,125,56b52de87c2f3250d389239765b527dc1e3b929e,b63f594866f44ca430553bc77146ad9e08293cdf,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,70c0c378c1d4edef599b715376e47cd7d963409856b52de87c2f3250d389239765b527dc1e3b929e,125,70c0c378c1d4edef599b715376e47cd7d9634098,56b52de87c2f3250d389239765b527dc1e3b929e,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,99450efdf73ce468e282f40de10d3b6b08f8f3ef70c0c378c1d4edef599b715376e47cd7d9634098,125,99450efdf73ce468e282f40de10d3b6b08f8f3ef,70c0c378c1d4edef599b715376e47cd7d9634098,123.0,124.0,743.0,759.0,8.0,8.0,6,6,1.0,16.0,0.0,0,negative,negative,invariant,invariant
RxJava,d34355b5b7d08fc6b9f6c07c62a83c82c241f1b499450efdf73ce468e282f40de10d3b6b08f8f3ef,125,d34355b5b7d08fc6b9f6c07c62a83c82c241f1b4,99450efdf73ce468e282f40de10d3b6b08f8f3ef,124.0,124.0,759.0,759.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,75b9766db85e103a1d55494d250cacdac64896e2d34355b5b7d08fc6b9f6c07c62a83c82c241f1b4,125,75b9766db85e103a1d55494d250cacdac64896e2,d34355b5b7d08fc6b9f6c07c62a83c82c241f1b4,124.0,124.0,759.0,769.0,8.0,8.0,6,6,0.0,10.0,0.0,0,invariant,negative,invariant,invariant
RxJava,77464d2dd3d8ce6fd37cdc5fd312c69f999c3c72d0e0fd7dabe851fc055378c1857896765a1ab2a8,127,77464d2dd3d8ce6fd37cdc5fd312c69f999c3c72,d0e0fd7dabe851fc055378c1857896765a1ab2a8,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,caf3a9434ed4b3b4efba6661891f02417aebf604d0e0fd7dabe851fc055378c1857896765a1ab2a8,129,caf3a9434ed4b3b4efba6661891f02417aebf604,d0e0fd7dabe851fc055378c1857896765a1ab2a8,123.0,123.0,743.0,743.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,6db29bf73efc6181e9837c24e08ac0f8b392ee331f48ae1c61c41668f5e063192d0aafb53f988f2a,132,6db29bf73efc6181e9837c24e08ac0f8b392ee33,1f48ae1c61c41668f5e063192d0aafb53f988f2a,123.0,118.0,743.0,643.0,8.0,8.0,6,6,-5.0,-100.0,0.0,0,positive,positive,invariant,invariant
RxJava,1bd63b5361de4d92272352be24353effdc0a46386db29bf73efc6181e9837c24e08ac0f8b392ee33,132,1bd63b5361de4d92272352be24353effdc0a4638,6db29bf73efc6181e9837c24e08ac0f8b392ee33,118.0,117.0,643.0,643.0,8.0,8.0,6,6,-1.0,0.0,0.0,0,positive,invariant,invariant,invariant
RxJava,456f51288ae109c23b9ad8c40a5082111778b8c31bd63b5361de4d92272352be24353effdc0a4638,132,456f51288ae109c23b9ad8c40a5082111778b8c3,1bd63b5361de4d92272352be24353effdc0a4638,117.0,117.0,643.0,643.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,a5bf8babca9f7664df90ebcc0ee5ff1b489016a2456f51288ae109c23b9ad8c40a5082111778b8c3,132,a5bf8babca9f7664df90ebcc0ee5ff1b489016a2,456f51288ae109c23b9ad8c40a5082111778b8c3,117.0,117.0,643.0,643.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,98a86c756b9ccd91683701286e07d5cb67868168a5bf8babca9f7664df90ebcc0ee5ff1b489016a2,132,98a86c756b9ccd91683701286e07d5cb67868168,a5bf8babca9f7664df90ebcc0ee5ff1b489016a2,117.0,117.0,643.0,643.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
