design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,5.0,278.0,57.0,515.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,118.0,275.0,5512.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,4.0,150.0,294.0,5753.0,2,1,0,1,employee,0,13,6.5,0,0.0,0
False,2.0,56.0,1.0,46.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,20.0,1715.0,151.0,1732.0,4,1,0,3,employee,0,81,20.25,0,0.25,1
True,4.0,618.0,52.0,602.0,3,1,0,2,employee,0,20,6.666666666666667,0,0.0,0
False,1.0,27.0,1.0,27.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,542.0,100.0,1235.0,0,0,0,0,employee,0,0,0,0,0,0
True,5.0,957.0,344.0,6826.0,2,1,0,1,employee,0,18,9.0,0,1.5,3
True,5.0,12532.0,339.0,6571.0,1,1,0,0,employee,0,8,8.0,0,0.0,3
True,7.0,537.0,30.0,169.0,12,1,2,1,employee,0,196,16.333333333333332,0,0.3333333333333333,10
True,6.0,331.0,613.0,12300.0,2,1,0,1,employee,0,19,9.5,0,1.0,34
True,16.0,1428.0,915.0,17437.0,24,1,2,2,employee,0,613,25.541666666666668,0,1.0833333333333333,28
False,2.0,11.0,10.0,279.0,6,1,1,1,employee,0,46,7.666666666666667,0,0.0,0
False,8.0,735.0,65.0,992.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,5.0,957.0,344.0,6826.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,2.0,1629.0,29.0,793.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
False,1.0,15.0,21.0,168.0,2,1,1,0,employee,0,10,5.0,0,0.0,0
False,1.0,44.0,294.0,6129.0,1,1,0,0,employee,0,8,8.0,0,0.0,7
True,10.0,2061.0,123.0,2143.0,1,1,0,0,employee,0,8,8.0,0,0.0,6
True,1.0,127.0,12.0,160.0,3,2,1,0,employee,0,25,8.333333333333334,0,0.0,6
True,1.0,103.0,5.0,104.0,7,2,1,1,employee,1,92,13.142857142857142,205,1.1428571428571428,5
True,6.0,309.0,322.0,6576.0,4,1,1,0,employee,0,76,19.0,0,0.25,4
False,2.0,126.0,107.0,1351.0,5,1,1,1,employee,0,34,6.8,0,0.0,3
False,1.0,3.0,295.0,6147.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,6.0,295.0,6147.0,2,1,1,0,employee,0,10,5.0,0,0.0,0
True,1.0,2.0,1.0,46.0,6,1,1,1,employee,0,55,9.166666666666666,0,0.0,0
True,3.0,565.0,338.0,6712.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,4.0,800.0,370.0,6974.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,111.0,303.0,6334.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,14.0,1427.0,100.0,1024.0,24,1,2,3,employee,6,573,23.875,2844,0.08333333333333333,3
False,1.0,61.0,299.0,6230.0,6,1,2,0,employee,1,325,54.166666666666664,114,0.3333333333333333,0
True,3.0,265.0,329.0,6719.0,1,1,0,0,employee,0,8,8.0,0,0.0,2
True,2.0,171.0,22.0,338.0,2,1,0,1,employee,0,12,6.0,0,1.0,2
True,10.0,280.0,438.0,8237.0,3,1,0,0,employee,0,25,8.333333333333334,0,0.0,2
False,1.0,4.0,299.0,6234.0,1,1,0,0,employee,0,8,8.0,0,0.0,2
True,6.0,282.0,380.0,7417.0,13,1,2,2,employee,3,313,24.076923076923077,842,0.0,2
True,6.0,367.0,622.0,13028.0,1,1,0,0,employee,0,8,8.0,0,0.0,4
False,2.0,74.0,64.0,774.0,2,1,0,1,employee,0,27,13.5,0,0.0,0
False,1.0,22.0,300.0,6252.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,8.0,489.0,72.0,550.0,6,1,2,1,employee,0,116,19.333333333333332,0,0.0,1
False,5.0,490.0,676.0,13735.0,5,1,1,1,employee,0,70,14.0,0,0.2,1
False,3.0,102.0,107.0,1404.0,1,1,0,0,employee,0,8,8.0,0,0.0,1
True,2.0,24.0,302.0,6275.0,1,1,0,0,employee,0,8,8.0,0,0.0,1
True,4.0,28.0,234.0,2712.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,100.0,1550.0,1381.0,22014.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,2.0,98.0,36.0,450.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,240.0,23.0,446.0,17,1,1,2,employee,2,482,28.352941176470587,1547,0.0,2
True,2.0,144.0,48.0,542.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,1485.0,308.0,6433.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,4.0,236.0,319.0,6667.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,7.0,1639.0,432.0,8111.0,3,1,1,1,employee,0,84,28.0,0,0.0,0
False,1.0,18.0,49.0,350.0,2,1,0,1,employee,0,21,10.5,0,0.0,0
False,3.0,891.0,65.0,774.0,1,1,0,0,employee,0,8,8.0,0,0.0,17
False,1.0,300.0,328.0,6863.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
