design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,14.0,2004.0,474.0,7410.0,6,0,1,1,employee,0,56,9.333333333333334,0,0.0,0
False,3.0,59.0,318.0,3220.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,2.0,49.0,208.0,2538.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
True,28.0,2394.0,920.0,8988.0,5,0,1,1,employee,0,32,6.4,0,3.8,31
False,5.0,124.0,56.0,644.0,3,0,0,2,employee,0,27,9.0,0,0.6666666666666666,11
False,3.0,39.0,307.0,2992.0,17,1,3,4,employee,11,456,26.823529411764707,1671,13.647058823529411,237
False,2.0,151.0,18.0,105.0,11,1,3,1,employee,0,298,27.09090909090909,0,0.18181818181818182,4
True,4.0,178.0,176.0,1728.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
False,2.0,54.0,149.0,1797.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
False,4.0,69.0,149.0,1810.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
False,11.0,652.0,704.0,5818.0,3,0,1,1,employee,0,32,10.666666666666666,0,0.0,3
True,1.0,29.0,93.0,790.0,2,0,0,2,employee,0,14,7.0,0,4.5,13
False,5.0,100.0,278.0,3537.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,4.0,157.0,254.0,3025.0,2,0,1,0,employee,0,11,5.5,0,0.0,0
True,4.0,466.0,185.0,1580.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
False,4.0,99.0,30.0,290.0,4,0,0,2,employee,0,34,8.5,0,0.0,5
True,22.0,1101.0,774.0,6799.0,3,0,2,0,employee,0,66,22.0,0,0.0,0
True,107.0,4355.0,3311.0,50476.0,2,0,2,0,employee,0,33,16.5,0,1.5,4
True,6.0,190.0,37.0,419.0,3,0,1,1,employee,0,79,26.333333333333332,0,7.333333333333333,3
False,3.0,47.0,215.0,2822.0,6,0,2,0,employee,0,93,15.5,0,0.0,3
True,2.0,48.0,201.0,1272.0,1,0,1,0,employee,0,17,17.0,0,0.0,1
False,11.0,386.0,1019.0,6610.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
False,59.0,726.0,1988.0,26883.0,3,0,2,1,employee,0,41,13.666666666666666,0,0.0,1
True,42.0,5417.0,1387.0,10374.0,15,0,3,0,employee,0,293,19.533333333333335,0,1.3333333333333333,28
False,1.0,30.0,77.0,655.0,1,0,1,0,employee,0,16,16.0,0,0.0,0
False,17.0,1211.0,1259.0,8900.0,3,0,1,1,employee,0,24,8.0,0,0.6666666666666666,7
False,2.0,12.0,171.0,2627.0,2,0,2,0,employee,0,18,9.0,0,0.0,0
False,1.0,17.0,62.0,485.0,2,0,1,1,employee,0,7,3.5,0,4.0,0
True,1.0,23.0,54.0,363.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
False,10.0,622.0,449.0,3674.0,2,0,1,0,employee,0,10,5.0,0,1.0,3
False,2.0,32.0,208.0,1576.0,2,0,1,0,employee,0,10,5.0,0,0.0,0
False,2.0,35.0,168.0,888.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
False,1.0,9.0,104.0,452.0,2,0,1,1,employee,0,7,3.5,0,0.0,0
